sample	age	sex	caste
SRR3102934	2	female	worker
SRR3123272	2	female	worker
SRR3123273	2	female	worker
SRR3123275	2	female	worker
SRR3123276	2	female	worker
SRR3123277	2	female	worker
SRR3123279	4	female	worker
SRR3123281	4	female	worker
SRR3123337	4	female	worker
SRR3123340	4	female	worker
SRR3123341	4	female	worker
SRR3123342	4	female	worker
SRR3123355	2	female	queen
SRR3123357	2	female	queen
SRR3123359	2	female	queen
SRR3123361	2	female	queen
SRR3123362	2	female	queen
SRR3123364	2	female	queen
SRR3123372	4	female	queen
SRR3123380	4	female	queen
SRR3123385	4	female	queen
SRR3123388	4	female	queen
SRR3123389	4	female	queen
SRR3123390	4	female	queen
SRR3123400	2	male	drone
SRR3123402	2	male	drone
SRR3123404	2	male	drone
SRR3123406	2	male	drone
SRR3123407	2	male	drone
SRR3123408	2	male	drone
SRR3123443	4	male	drone
SRR3123445	4	male	drone
SRR3123446	4	male	drone
SRR3123448	4	male	drone
SRR3123449	4	male	drone
SRR3123451	4	male	drone
